Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project","Grassroots Leadership, Inc.","Criminal Justice Reform","Criminal Justice Reform",12/2016,"$200,000"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2019)","Grassroots Leadership, Inc.","Criminal Justice Reform","Criminal Justice Reform",07/2019,"$150,000"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2020)","Grassroots Leadership, Inc.","Criminal Justice Reform","Criminal Justice Reform",07/2020,"$150,000"
"Greater Greater Washington — Housing and Land Use Reform (2024)","Greater Greater Washington","Housing Policy Reform","Housing Policy Reform",06/2024,"$148,000"
"Greenburger Center — Criminal Justice Convening","Greenburger Center for Social and Criminal Justice","Criminal Justice Reform","Criminal Justice Reform",05/2018,"$20,000"
"Growth Teams — Conference Support","Growth Teams","Economic Growth in LMICs","Economic Growth in LMICs",04/2024,"$142,500"
"Gryphon Scientific — Empirical Biosafety Research","Gryphon Scientific","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",05/2020,"$2,000,000"
"gui2de — Zusha! Road Safety Campaign","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",02/2017,"$900,000"
"gui2de — Zusha! Road Safety Campaign (December 2018)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","Global Health & Development",12/2018,"$100,000"
"gui2de — Zusha! Road Safety Campaign (December 2020)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","Global Health & Development",12/2020,"$50,000"
"gui2de — Zusha! Road Safety Campaign (February 2020)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","Global Health & Development",02/2020,"$100,000"
"Guide Labs — Open Access Interpretability Project","Guide Labs","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$750,000"
"Harborlight Community Partners — YIMBYtown 2018 Conference","Harborlight Community Partners","Housing Policy Reform","Housing Policy Reform",03/2018,"$40,000"
"Harmony Intelligence — LLM Moneymaking Benchmark","Harmony Intelligence","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2024,"$54,270"
"Harvard Animal Law &#038; Policy Clinic — Global Farmed Animal Benchmark","Harvard Animal Law &amp; Policy Clinic","Farm Animal Welfare","Farm Animal Welfare",06/2024,"$350,000"
"Harvard University — AI Interpretability, Controllability, and Safety Research","Harvard University","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$1,000,000"
"Harvard University — Animal Law and Policy Program","Harvard University","Farm Animal Welfare","Farm Animal Welfare",10/2017,"$21,200"
"Harvard University — Antimalarial Bednet Development and Evaluation","Harvard University","Global Health R&amp;D","Global Health R&amp;D",05/2024,"$2,880,750"
"Harvard University — Antiviral Research (2022)","Harvard University","Scientific Research","Scientific Research",01/2022,"$2,500,000"
"Harvard University — Biosecurity and Biosafety","Harvard University","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",06/2020,"$315,000"
"Harvard University — Center for Communicable Disease Dynamics","Harvard University","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",01/2023,"$190,000"
"Harvard University — COVID-19 Serological Tests (Michael Mina)","Harvard University","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",04/2020,"$1,784,981"
"Harvard University — CRISPR-Based Diagnostics for Febrile Diseases","Harvard University","Scientific Research","Scientific Research",12/2021,"$600,123"
"Harvard University — CRISPR-Based Diagnostics for Febrile Diseases (2024)","Harvard University","Scientific Research","Scientific Research",02/2024,"$1,597,247"
"Harvard University — Fluorescent Imaging for In Vivo Monitoring","Harvard University","Scientific Research","Scientific Research",01/2024,"$974,132"
"Harvard University — Political Polarization App","Harvard University","Scientific Research",,03/2023,"$100,000"
"Harvard University — Program in Criminal Justice Policy and Management","Harvard University","Criminal Justice Reform","Criminal Justice Reform",07/2016,"$783,000"
"Harvard University — Solar Geoengineering Research Program","Harvard University","Solar Radiation Management","Global Catastrophic Risks; Solar Radiation Management",12/2016,"$2,500,000"
"Health Alliance for Violence Intervention — General Support","Health Alliance for Violence Intervention","Criminal Justice Reform","Criminal Justice Reform",04/2021,"$25,000"
"Health Effects Institute — Air Quality Assessment for Indian Cities",Health Effects Institute,"South Asian Air Quality","South Asian Air Quality",09/2023,"$296,705"
"HEARD — General Support (2018)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","Criminal Justice Reform",05/2018,"$50,000"
"HEARD — General Support (2021)",HEARD,"Criminal Justice Reform","Criminal Justice Reform",09/2021,"$100,000"
"Hebrew University of Jerusalem — Governance of AI Lab","Hebrew University of Jerusalem","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2025,"$2,725,000"
"Heffter Research Institute — General Support","Heffter Research Institute","Drug Policy Reform","Drug Policy Reform",12/2015,"$100,000"
"Heffter Research Institute — General Support","Heffter Research Institute","Drug Policy Reform","Drug Policy Reform",09/2016,"$100,000"
"Helen Keller International — Vitamin A Supplementation","Helen Keller International","Global Health & Development","Global Health & Development",01/2018,"$7,200,000"
"Helen Keller International — Vitamin A Supplementation (December 2018)","Helen Keller International","Global Health & Development","Global Health & Development",12/2018,"$6,500,000"
"Helen Keller International — Vitamin A Supplementation (December 2020)","Helen Keller International","Global Health & Development","Global Health & Development",12/2020,"$8,059,000"
"Helen Keller International — Vitamin A Supplementation (January 2020)","Helen Keller International","Global Health & Development","Global Health & Development",01/2020,"$9,709,000"
"Helen Keller International — Vitamin A Supplementation (January 2023)","Helen Keller International","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",01/2023,"$67,452,836"
"Helena — Health Security Policy",Helena,"Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",11/2022,"$500,000"
"Helping Educate to Advance the Rights of Deaf Communities — General Support (2020)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","Criminal Justice Reform",10/2020,"$50,000"
"High Impact Athletes — General Support","High Impact Athletes","Effective Giving and Careers","Effective Giving and Careers",09/2024,"$55,000"
"High Impact Medicine — Community Building for Medical Students","High Impact Medicine","Effective Giving and Careers","Effective Giving and Careers",01/2023,"$134,000"
"High Impact Medicine — General Support","High Impact Medicine","Effective Giving and Careers","Effective Giving and Careers",07/2024,"$321,338"
"High Impact Professionals — General Support","High Impact Professionals","Effective Giving and Careers","Effective Giving and Careers",03/2023,"$200,000"
"High Impact Professionals — General Support (2025)","High Impact Professionals","Effective Giving and Careers","Effective Giving and Careers",01/2025,"$251,110"
"Hive — General Support (2025)",Hive,"Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",01/2025,"$250,000"
"Hive (formerly Impactful Animal Advocacy) – General Support (2023) ",Hive,"Farm Animal Welfare","Farm Animal Welfare",01/2024,"$100,000"
"Hofvarpnir Studios — Compute Cluster for AI Safety Research","Hofvarpnir Studios","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2022,"$1,443,540"
"Hospital for Sick Children – Malaria Vaccine Research and Preclinical Development","Hospital for Sick Children","Global Health R&amp;D","Global Health R&amp;D",03/2024,"$5,684,065"
"HSA — Fish, Crustacean and Cephalopod Welfare","Humane Slaughter Association","Farm Animal Welfare","Farm Animal Welfare",07/2017,"$2,528,678"
"HSA — Wild Caught Fish Welfare","Humane Slaughter Association","Farm Animal Welfare","Farm Animal Welfare",03/2019,"$570,402"
"HSUS — Broiler Welfare Corporate Campaigns","Humane Society of the United States","Farm Animal Welfare","Farm Animal Welfare",11/2016,"$1,000,000"
"Human Impact Partners — Criminal Justice Convening","Human Impact Partners","Criminal Justice Reform","Criminal Justice Reform",10/2015,"$60,990"
"Humane Canada — Farmed Animal Standards","Humane Canada","Farm Animal Welfare","Farm Animal Welfare",02/2024,"$213,500"
"Humane Society International — African Swine Fever Training","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",10/2019,"$13,145"
"Humane Society International — African Swine Fever Training (2020)","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",05/2020,"$60,000"
"Humane Society International — Corporate Campaigns in Mexico","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",09/2024,"$200,000"
"Humane Society International — East Asian and OIE Projects","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",03/2017,"$1,364,000"
"Humane Society International — Farm Animal Welfare in Southeast Asia","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",09/2023,"$887,300"
"Humane Society International — Farm Animal Welfare in Southeast Asia and Latin America","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",05/2021,"$650,000"
"Humane Society International — International Cage-Free Outreach","Humane Society International","Farm Animal Welfare","Farm Animal Welfare",08/2016,"$1,000,000"
"Humane Society International India — Exit Grant","Humane Society International India","Farm Animal Welfare","Farm Animal Welfare",07/2023,"$60,000"
"Humane Society International:India — India Animal Welfare Reform (2019)","Humane Society International:India","Farm Animal Welfare","Farm Animal Welfare",06/2019,"$1,039,124"
"Humane Society International/India — India Animal Welfare Reform","Humane Society International/India","Farm Animal Welfare","Farm Animal Welfare",05/2017,"$1,100,000"
"Humane Society of the United States — California Prop 12 Legal Defense","Humane Society of the United States","Farm Animal Welfare","Farm Animal Welfare",05/2022,"$250,000"
"Humánny pokrok – Chicken Welfare Campaigns in Slovakia","Humánny pokrok","Farm Animal Welfare","Farm Animal Welfare",03/2024,"$100,000"
"Humánny pokrok — Chicken Welfare Campaigns in Slovakia (2025)","Humánny pokrok","Farm Animal Welfare","Farm Animal Welfare",02/2025,"$298,546"
"Hypermind — AI Forecasting",Hypermind,"Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2021,"$147,180"
"Hypermind — AI Forecasting Tournament",Hypermind,Forecasting,"Global Catastrophic Risks; Potential Risks from Advanced AI; Forecasting",03/2021,"$121,124"
"Hypermind — COVID-19 Forecasting",Hypermind,Forecasting,Forecasting,02/2021,"$311,333"
"Icahn School of Medicine at Mount Sinai — Bat Cell Line Research","Icahn School of Medicine at Mount Sinai","Scientific Research","Scientific Research",12/2021,"$100,000"
"Icahn School of Medicine at Mount Sinai — COVID-19 Diagnostic Testing (Adolfo García-Sastre)","Icahn School of Medicine at Mount Sinai","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",04/2020,"$627,700"
"IDinsight &#8211; General Support",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",06/2016,"$1,985,000"
"IDInsight — Beneficiary Preferences Survey",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2019,"$474,374"
"IDinsight — Embedded GiveWell Team",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",05/2017,"$2,321,617"
"IDinsight — Embedded GiveWell Team (2018)",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",04/2018,"$1,196,729"
"IDinsight — Endline Evaluation of New Incentives RCT",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",08/2019,"$2,105,962"
"IDinsight — Moral Weights Survey Planning",IDinsight,"Global Health & Development","Global Health & Development",05/2022,"$11,760"
"IDinsight — New Incentives RCT",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2019,"$184,324"
"IDinsight — Public Health Surveys in India",IDinsight,"Global Public Health Policy","Global Public Health Policy",06/2025,"$282,000"
"IDinsight — Scaling Up a High-Potential Development Intervention",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",09/2014,"$34,382"
"IDinsight—Embedded GiveWell Team",IDinsight,"Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",11/2016,"$314,752"
"Ifakara Health Institute — Malaria Vaccine Clinical Trial (Ally Olotu)","Ifakara Health Institute","Scientific Research","Scientific Research",07/2021,"$68,184"
"iGEM — Biological Weapons Convention Verification Project","International Genetically Engineered Machine Foundation","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",11/2021,"$300,000"
"iGEM — Support for Team ABSI_Kenya&#8217;s Project","International Genetically Engineered Machine Foundation","Scientific Research","Scientific Research",05/2021,"$8,500"
"iGEM — Synthetic Biology Safety and Security","International Genetically Engineered Machine Foundation","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",05/2016,"$520,000"
"iGEM — Synthetic Biology Safety and Security (2018)","International Genetically Engineered Machine Foundation","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",11/2018,"$420,000"
"iGEM — Synthetic Biology Safety and Security (2020)","International Genetically Engineered Machine Foundation","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",04/2020,"$940,000"
"IISER Mohali — North India Pollution Research","IISER Mohali","South Asian Air Quality","South Asian Air Quality",10/2023,"$103,765"
"ImmigrationWorks Foundation — General Support","ImmigrationWorks Foundation","Immigration Policy","Immigration Policy",10/2015,"$150,000"
"ImmigrationWorks Foundation — General Support","ImmigrationWorks Foundation","Immigration Policy","Immigration Policy",07/2014,"$285,000"
"Immune Observatory — Single-Dose COVID-19 Vaccine Modeling","Immune Observatory","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",02/2021,"$100,000"
"Impact Alliance — Cage-Free Program","Impact Alliance","Farm Animal Welfare","Farm Animal Welfare",11/2020,"$17,603"
"Impact Global Health — General Support","Impact Global Health","Global Health & Development","Global Health & Development",03/2022,"$1,550,000"
"Impact Justice — Restorative Justice Project","Impact Justice","Criminal Justice Reform","Criminal Justice Reform",12/2016,"$2,050,000"
"Impact Justice — Restorative Justice Project (2019)","Impact Justice","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$3,700,000"
"Imperial College London — Malaria Vaccine Research","Imperial College London","Global Health R&amp;D","Global Health R&amp;D",05/2024,"$46,524"
"IMPROVE — Egg Alternatives Research",IMPROVE,"Farm Animal Welfare","Farm Animal Welfare",01/2023,"$65,756"
"Indian Institute of Technology Bombay — PAVITRA Pollution Modeling Tool","Indian Institute of Technology Bombay","South Asian Air Quality","South Asian Air Quality",11/2022,"$647,618"
"Indian Institute of Technology Delhi — Air Quality Sensors in South Asia","Indian Institute of Technology Delhi","Global Health & Development","Global Health & Development",06/2021,"$228,000"
"Indian Institute of Technology Delhi — Truck Emissions Research","Indian Institute of Technology Delhi","Global Public Health Policy","Global Public Health Policy; South Asian Air Quality",01/2025,"$163,291"
"Indian Institute of Technology Kanpur — Rural Air Quality Monitoring","Indian Institute of Technology Kanpur","South Asian Air Quality","South Asian Air Quality",06/2022,"$2,500,000"
"Indiana University — Respiratory Distress Syndrome Interventions","Indiana University","Global Health R&amp;D","Global Health R&amp;D",04/2024,"$1,872,195"
"Initiate Justice — Prisoner Education on Proposition 57","Initiate Justice","Criminal Justice Reform","Criminal Justice Reform",10/2017,"$5,000"
"InMyWords — General Support",InMyWords,"Criminal Justice Reform","Criminal Justice Reform",07/2019,"$21,500"
"InMyWords — Restorative Justice",InMyWords,"Criminal Justice Reform","Criminal Justice Reform",08/2020,"$61,500"
"Innovate Animal Ag — Farm Animal Welfare Technology Adoption","Innovate Animal Ag","Farm Animal Welfare","Farm Animal Welfare",05/2023,"$200,000"
"Innovate Animal Ag — Farm Animal Welfare Technology Adoption (2024)","Innovate Animal Ag","Farm Animal Welfare","Farm Animal Welfare",09/2024,"$650,000"
"Innovations for Poverty Action — Ethiopian Office","Innovations for Poverty Action","Global Health & Development","Global Health & Development",02/2023,"$2,800,000"
"Innovations for Poverty Action — General Support","Innovations for Poverty Action","Global Health & Development","Global Health & Development",05/2012,"$50,000"
"Innovations for Poverty Action — Mindset Engagement in Cash Transfers","Innovations for Poverty Action","Global Health & Development","Global Health & Development",05/2016,"$350,000"
"Institut de Recherche en Sciences de la Santé — Malaria Vaccine Clinical Trial (Halidou Tinto)","Institut de Recherche en Sciences de la Santé","Scientific Research","Scientific Research; Global Health & Development",08/2021,"$630,123"
"Institut des Sciences et Techniques, Bobo-Dioulasso — Malaria Vaccine Clinical Trial (Ouedraogo)","Institut des Sciences et Techniques, Bobo-Dioulasso","Scientific Research","Scientific Research; Global Health & Development",08/2021,"$631,162"
"Institute for AI Policy and Strategy – General Support","Institute for AI Policy and Strategy","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$3,011,895"
"Institute for AI Policy and Strategy — General Support (2025)","Institute for AI Policy and Strategy","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2025,"$11,510,081"
"Institute for AI Policy and Strategy — General Support (April 2024)","Institute for AI Policy and Strategy","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2024,"$828,049"
"Institute for Progress — General Support (2023)","Institute for Progress","Innovation Policy","Innovation Policy",03/2023,"$7,800,000"
"Institute for Progress — Policy Research","Institute for Progress","Other Areas","Innovation Policy; Other Areas",10/2021,"$2,115,000"
"Institute for Replication — Large Language Model Replication Games","Institute for Replication","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2024,"$174,112"
"Institute for Security and Technology — AI Chip Export Control Initiative","Institute for Security and Technology","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",03/2025,"$240,597"
"Institute of Agrifood Research and Technology — Fish Welfare Certification Standards","Institute of Agrifood Research and Technology","Farm Animal Welfare","Farm Animal Welfare",01/2021,"$237,043"
"Institute of the Black World — Criminal Justice Reform","Institute of the Black World","Criminal Justice Reform","Criminal Justice Reform",03/2016,"$50,000"
"International AIDS Vaccine Initiative – Samples for Tuberculosis Vaccine Trial","International AIDS Vaccine Initiative","Global Health R&amp;D","Global Health R&amp;D",03/2024,"$796,878"
"International Bank for Reconstruction and Development — Air Quality in the Indo-Gangetic Plain","International Bank for Reconstruction and Development","South Asian Air Quality","South Asian Air Quality",02/2023,"$1,999,999"
"International Centre of Insect Physiology and Ecology — Malaria Prevention Research (Jeremy Herren)","International Centre of Insect Physiology and Ecology","Scientific Research","Scientific Research",11/2020,"$2,199,645"
"International Centre of Insect Physiology and Ecology — Malaria Resistance Research","International Centre of Insect Physiology and Ecology","Scientific Research","Scientific Research",12/2023,"$3,012,207"
"International Conference on Learning Representations — Machine Learning Paper Awards","International Conference on Learning Representations","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2020,"$3,500"
"International Conference on Learning Representations — Security and Safety in Machine Learning Systems Workshop","International Conference on Learning Representations","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2021,"$3,000"
"International Conference on Machine Learning — AI Governance Workshop","International Conference on Machine Learning","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2025,"$12,545"
"International Foundation for Social Impact — Air Quality Governance Support","International Foundation for Social Impact","South Asian Air Quality","South Asian Air Quality",01/2023,"$590,000"
"International Initiative for Impact Evaluation — Follow-up of Mozambique Preschool Trial","International Initiative for Impact Evaluation","Global Health and Wellbeing","Global Health and Wellbeing",03/2025,"$169,691"
"International Institute for Strategic Studies — Forecasting Session","International Institute for Strategic Studies",Forecasting,Forecasting,01/2025,"$33,000"
"International Institute of Information Technology Hyderabad — AI Systems Course","International Institute of Information Technology Hyderabad","Global Catastrophic Risks","Global Catastrophic Risks",05/2024,"$7,000"
"International Refugee Assistance Project — Exit Grant","International Refugee Assistance Project","Immigration Policy","Immigration Policy",07/2022,"$1,000,000"
"International Refugee Assistance Project — Family Reunification","International Refugee Assistance Project","Immigration Policy","Immigration Policy",05/2019,"$75,000"
"International Refugee Assistance Project — General Support","International Refugee Assistance Project","Immigration Policy","Immigration Policy",05/2016,"$700,000"
"International Refugee Assistance Project — General Support (2019)","International Refugee Assistance Project","Immigration Policy","Immigration Policy",01/2019,"$1,000,000"
"International Refugee Assistance Project — General Support (2020)","International Refugee Assistance Project","Immigration Policy","Immigration Policy",11/2020,"$1,000,000"
"International Rescue Committee – Treatment of Malnutrition (May to August 2021)","International Rescue Committee","Global Health & Development","Global Health & Development",05/2021,"$19,907,422"
"International Rescue Committee – Treatment of Malnutrition (October 2021)","International Rescue Committee","Global Health & Development","Global Health & Development",10/2021,"$42,000"
"International Rescue Committee — Acute Malnutrition Treatment (January 2024)","International Rescue Committee","Global Health & Development","Global Health & Development",03/2024,"$7,485,323"
"International Rescue Committee — Costing Analysis","International Rescue Committee","Global Health and Wellbeing","Global Aid Policy; Global Health and Wellbeing",02/2025,"$159,460"
"International Rescue Committee — USAID Placement","International Rescue Committee","Global Aid Policy","Global Aid Policy",01/2023,"$1,071,597"
"International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020)","International Society for Applied Ethology","Farm Animal Welfare","Farm Animal Welfare",03/2020,"$229,830"
"International Society for Applied Ethology — Farm Animal Welfare Science in Developing Countries","International Society for Applied Ethology","Farm Animal Welfare","Farm Animal Welfare",02/2024,"$396,515"
"International Society for Applied Ethology — Travel Scholarships","International Society for Applied Ethology","Farm Animal Welfare","Farm Animal Welfare",03/2017,"$40,000"
"International Vaccine Institute — Cholera Vaccine Clinical Trial","International Vaccine Institute","Scientific Research","Scientific Research; Global Health & Development",01/2022,"$2,500,000"
"International Vaccine Institute — Hepatitis E and Leptospirosis Study","International Vaccine Institute","Scientific Research","Scientific Research",09/2023,"$742,176"
"International Vaccine Institute — Hepatitis E Vaccine Trial","International Vaccine Institute","Scientific Research","Scientific Research",08/2022,"$4,000,000"
"International Vaccine Institute — Hepatitis E Vaccine Trial (2023)","International Vaccine Institute","Scientific Research","Scientific Research",10/2023,"$3,500,000"
"International Vaccine Institute — Schistosomiasis Vaccine Assessment","International Vaccine Institute","Scientific Research","Scientific Research",08/2021,"$140,000"
"International Vaccine Institute — Strep A Vaccine Global Consortium","International Vaccine Institute","Global Health R&amp;D","Global Health R&amp;D",06/2023,"$3,600,492"
"International Vaccines Institute — Cholera Vaccine Phase II Trial","International Vaccine Institute","Scientific Research","Scientific Research",06/2024,"$6,600,000"
"Iodine Global Network — Exit Grant","Iodine Global Network","Global Health & Development","Global Health & Development",09/2021,"$100,000"
"Iodine Global Network — General Support","Iodine Global Network","Global Health & Development","Global Health & Development",12/2015,"$250,000"
"Iodine Global Network — General Support","Iodine Global Network","Global Health & Development","Global Health & Development",12/2016,"$250,000"
"Iodine Global Network — General Support","Iodine Global Network","Global Health & Development","Global Health & Development",12/2014,"$250,000"
"Iodine Global Network — General Support (December 2017)","Iodine Global Network","Global Health & Development","Global Health & Development",12/2017,"$100,000"
"Iodine Global Network — General Support (December 2019)","Iodine Global Network","Global Health & Development","Global Health & Development",12/2019,"$100,000"
"Iodine Global Network — General Support (December 2020)","Iodine Global Network","Global Health & Development","Global Health & Development",12/2020,"$50,000"
"Iodine Global Network — General Support (January 2019)","Iodine Global Network","Global Health & Development","Global Health & Development",01/2019,"$100,000"
"IRD Global — Mobile Conditional Cash Transfers for Immunizations","IRD Global","Global Health & Development","Global Health & Development",10/2021,"$25,000,000"
"IRD Global — Organizational Support","IRD Global","Global Health & Development","Global Health & Development",06/2023,"$5,399,805"
"IRD Global — RCT Planning for Tuberculosis Program","IRD Global","Global Health & Development","Global Health & Development",09/2022,"$1,016,599"
"IRD Global — Zero TB Program","IRD Global","Global Health & Development","Global Health & Development",06/2021,"$336,402"
"ISAE — Advance Farm Animal Welfare Science in Developing Nations","International Society for Applied Ethology","Farm Animal Welfare","Farm Animal Welfare",04/2018,"$135,412"
"J-PAL — Support for Immunization Incentives RCTs","Abdul Latif Jameel Poverty Action Lab","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",09/2015,"$200,000"
"Janaagraha — Air Quality Grants Assessment",Janaagraha,"Global Public Health Policy","Global Public Health Policy; South Asian Air Quality",12/2024,"$194,920"
"Jane Coffin Childs Memorial Fund — Postdoctoral Fellowship","Jane Coffin Childs Memorial Fund","Scientific Research","Scientific Research",05/2025,"$238,000"
"Joep Lange Institute — Debt to Health Advocacy","Joep Lange Institute","Global Aid Policy","Global Aid Policy",09/2024,"$200,000"
"Joep Lange Institute — Expanding the Donor Base for Global Health","Joep Lange Institute","Global Aid Policy","Global Aid Policy",05/2023,"$450,000"
"Joep Lange Institute — Expanding the Donor Base for Global Health (2024)","Joep Lange Institute","Global Aid Policy","Global Aid Policy",07/2023,"$1,000,000"
"John Hopkins Center for Health Security — Health Security Scholars (2024)","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",06/2024,"$86,981"
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2023)","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",03/2023,"$10,000,000"
"Johns Hopkins Center for Health Security — Educational Degree Program","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2022,"$3,908,161"
"Johns Hopkins Center for Health Security — Health Security Scholars","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",05/2023,"$381,220"
"Johns Hopkins Center for Health Security — Masters and PhD Program Support","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",02/2020,"$1,860,000"
"Johns Hopkins Center for Health Security — SynBioBeta 2018 Meeting","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",06/2018,"$127,600"
"Johns Hopkins University — Course Buyouts","Johns Hopkins University","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2025,"$94,600"
"Johns Hopkins University — Support for Jared Kaplan and Brice Ménard","Johns Hopkins University","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",03/2020,"$55,000"
"Just Media — Communications Training","Just Media","Criminal Justice Reform","Criminal Justice Reform",05/2019,"$15,000"
"Just Outcomes — Restorative Justice Convenings","Just Outcomes","Criminal Justice Reform","Criminal Justice Reform",03/2019,"$30,000"
"Just Outcomes — Restorative Justice Convenings and Affinity Group Meetings","Just Outcomes","Criminal Justice Reform","Criminal Justice Reform",03/2020,"$30,000"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work","Justice Solutions","Criminal Justice Reform","Criminal Justice Reform",02/2019,"$115,000"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work","Justice Solutions","Criminal Justice Reform","Criminal Justice Reform",02/2017,"$112,613"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2021)","Justice Solutions","Criminal Justice Reform","Criminal Justice Reform",07/2021,"$55,000"
"Justice Strategies — Criminal Justice Reform","Justice Strategies","Criminal Justice Reform","Criminal Justice Reform",07/2019,"$75,000"
"Justice Strategies — General Support","Justice Strategies","Criminal Justice Reform","Criminal Justice Reform",10/2016,"$200,000"
"Justice Strategies — General Support (2018)","Justice Strategies","Criminal Justice Reform","Criminal Justice Reform",03/2018,"$100,000"
"JusticeLA — General Support",JusticeLA,"Criminal Justice Reform","Criminal Justice Reform",06/2020,"$100,000"
"JustLeadershipUSA — Campaign to Close Rikers",JustLeadershipUSA,"Criminal Justice Reform","Criminal Justice Reform",12/2016,"$3,400,000"
"JustLeadershipUSA — Campaign to Close Rikers",JustLeadershipUSA,"Criminal Justice Reform","Criminal Justice Reform",12/2015,"$900,000"
"JustLeadershipUSA — Campaign to Close Rikers Summer Canvassing Support",JustLeadershipUSA,"Criminal Justice Reform","Criminal Justice Reform",05/2017,"$63,807"
"Kairos — General Support","Kairos Project","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2025,"$195,000"
"Kairos Project — AI Safety University Group Support","Kairos Project","Global Aid Policy","Global Aid Policy",10/2024,"$886,282"
